shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,game_data,additional
1,1,WC,semi,8-Jul-1982,France,Germany,Alain Giresse,Toni Schumacher,1,0,0,1,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
2,1,WC,semi,8-Jul-1982,France,Germany,Manuel Amoros,Toni Schumacher,1,0,0,2,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
3,1,WC,semi,8-Jul-1982,France,Germany,Dominique Rocheteau,Toni Schumacher,1,0,0,3,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
4,1,WC,semi,8-Jul-1982,France,Germany,Didier Six,Toni Schumacher,0,0,1,4,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
5,1,WC,semi,8-Jul-1982,France,Germany,Michel Platini,Toni Schumacher,1,0,0,5,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
6,1,WC,semi,8-Jul-1982,France,Germany,Maxime Bossis,Toni Schumacher,0,0,1,6,1,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
7,1,WC,semi,8-Jul-1982,Germany,France,Manfred Kaltz,Jean-Luc Ettori,1,0,0,1,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
8,1,WC,semi,8-Jul-1982,Germany,France,Paul Breitner,Jean-Luc Ettori,1,0,0,2,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
9,1,WC,semi,8-Jul-1982,Germany,France,Uli Stielike,Jean-Luc Ettori,0,0,1,3,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
10,1,WC,semi,8-Jul-1982,Germany,France,Pierre Littbarski,Jean-Luc Ettori,1,0,0,4,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
11,1,WC,semi,8-Jul-1982,Germany,France,Karl-Heinz Rummenigge,Jean-Luc Ettori,1,0,0,5,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
12,1,WC,semi,8-Jul-1982,Germany,France,Horst Hrubesch,Jean-Luc Ettori,1,0,0,6,0,3,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/965882,
13,2,WC,quarter,21-Jun-1986,Brazil,France,Socrates,Joel Bats,0,1,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
14,2,WC,quarter,21-Jun-1986,Brazil,France,Alemao,Joel Bats,1,0,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
15,2,WC,quarter,21-Jun-1986,Brazil,France,Zico,Joel Bats,1,0,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
16,2,WC,quarter,21-Jun-1986,Brazil,France,Branco,Joel Bats,1,0,0,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
17,2,WC,quarter,21-Jun-1986,Brazil,France,Julio Cesar,Joel Bats,0,1,0,5,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
18,2,WC,quarter,21-Jun-1986,France,Brazil,Yannick Stopyra,Carlos,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
19,2,WC,quarter,21-Jun-1986,France,Brazil,Manuel Amoros,Carlos,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
20,2,WC,quarter,21-Jun-1986,France,Brazil,Bruno Bellone,Carlos,1,0,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
21,2,WC,quarter,21-Jun-1986,France,Brazil,Michel Platini,Carlos,0,1,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
22,2,WC,quarter,21-Jun-1986,France,Brazil,Luis Fernandez,Carlos,1,0,0,5,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946172,
23,3,WC,quarter,21-Jun-1986,Germany,Mexico,Klaus Allofs,Pablo Larios,1,0,0,1,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
24,3,WC,quarter,21-Jun-1986,Germany,Mexico,Andreas Brehme,Pablo Larios,1,0,0,2,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
25,3,WC,quarter,21-Jun-1986,Germany,Mexico,Lothar Matthaus,Pablo Larios,1,0,0,3,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
26,3,WC,quarter,21-Jun-1986,Germany,Mexico,Pierre Littbarski,Pablo Larios,1,0,0,4,1,0,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
27,3,WC,quarter,21-Jun-1986,Mexico,Germany,Manuel Negrete,Toni Schumacher,1,0,0,1,0,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
28,3,WC,quarter,21-Jun-1986,Mexico,Germany,Fernando Quirarte,Toni Schumacher,0,0,1,2,0,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
29,3,WC,quarter,21-Jun-1986,Mexico,Germany,Raul Servin,Toni Schumacher,0,0,1,3,0,0,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/946173,
30,4,WC,quarter,22-Jun-1986,Spain,Belgium,Juan Senor,Jean-Marie Pfaff,1,0,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
31,4,WC,quarter,22-Jun-1986,Spain,Belgium,Eloy Olaya,Jean-Marie Pfaff,0,0,1,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
32,4,WC,quarter,22-Jun-1986,Spain,Belgium,Chendo,Jean-Marie Pfaff,1,0,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
33,4,WC,quarter,22-Jun-1986,Spain,Belgium,Emilio Butragueno,Jean-Marie Pfaff,1,0,0,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
34,4,WC,quarter,22-Jun-1986,Spain,Belgium,Victor Munoz,Jean-Marie Pfaff,1,0,0,5,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
35,4,WC,quarter,22-Jun-1986,Belgium,Spain,Nicolas Claesen,Andoni Zubizarreta,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
36,4,WC,quarter,22-Jun-1986,Belgium,Spain,Enzo Scifo,Andoni Zubizarreta,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
37,4,WC,quarter,22-Jun-1986,Belgium,Spain,Hugo Broos,Andoni Zubizarreta,1,0,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
38,4,WC,quarter,22-Jun-1986,Belgium,Spain,Patrick Vervoort,Andoni Zubizarreta,1,0,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
39,4,WC,quarter,22-Jun-1986,Belgium,Spain,Leo Van der Elst,Andoni Zubizarreta,1,0,0,5,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/946175,
40,5,WC,last16,25-Jun-1990,Romania,Ireland,Gheorghe Hagi,Pat Bonner,1,0,0,1,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
41,5,WC,last16,25-Jun-1990,Romania,Ireland,Danut Lupu,Pat Bonner,1,0,0,2,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
42,5,WC,last16,25-Jun-1990,Romania,Ireland,Iosif Rotariu,Pat Bonner,1,0,0,3,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
43,5,WC,last16,25-Jun-1990,Romania,Ireland,Ioan Lupescu,Pat Bonner,1,0,0,4,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
44,5,WC,last16,25-Jun-1990,Romania,Ireland,Daniel Timofte,Pat Bonner,0,0,1,5,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
45,5,WC,last16,25-Jun-1990,Ireland,Romania,Kevin Sheedy,Silviu Lung,1,0,0,1,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
46,5,WC,last16,25-Jun-1990,Ireland,Romania,Ray Houghton,Silviu Lung,1,0,0,2,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
47,5,WC,last16,25-Jun-1990,Ireland,Romania,Andy Townsend,Silviu Lung,1,0,0,3,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
48,5,WC,last16,25-Jun-1990,Ireland,Romania,Tony Cascarino,Silviu Lung,1,0,0,4,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
49,5,WC,last16,25-Jun-1990,Ireland,Romania,David O'Leary,Silviu Lung,1,0,0,5,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
