shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,could_win,must_survive,running_score,running_dif,match_winner,game_data,additional
659,69,CA,3rdplace,28-Jul-2001,Uruguay,Honduras,Gonzalo Sorondo,Henry Enamorado,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
660,69,CA,3rdplace,28-Jul-2001,Uruguay,Honduras,Carlos Gutierrez,Henry Enamorado,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
661,69,CA,3rdplace,28-Jul-2001,Uruguay,Honduras,Julio Rodriguez,Henry Enamorado,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0,1.0,-1.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
662,69,CA,3rdplace,28-Jul-2001,Uruguay,Honduras,Rodrigo Lemos,Henry Enamorado,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0,2.0,-1.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
663,69,CA,3rdplace,28-Jul-2001,Uruguay,Honduras,Ruben Olivera,Henry Enamorado,1.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,1,3.0,-1.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
664,69,CA,3rdplace,28-Jul-2001,Honduras,Uruguay,Reynaldo Pineda,Adrian Berbia,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,0.0,-1.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
665,69,CA,3rdplace,28-Jul-2001,Honduras,Uruguay,Saul Martinez,Adrian Berbia,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0,1.0,0.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
666,69,CA,3rdplace,28-Jul-2001,Honduras,Uruguay,Ricky Garcia,Adrian Berbia,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0,2.0,0.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
667,69,CA,3rdplace,28-Jul-2001,Honduras,Uruguay,Ninrrol Medina,Adrian Berbia,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0,3.0,0.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
668,69,CA,3rdplace,28-Jul-2001,Honduras,Uruguay,Junior Izaguirre,Adrian Berbia,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0,4.0,0.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1022263,https://www.youtube.com/watch?v=uHEqBjLyLPo
1372,136,AC,quarter,4-Feb-2006,Nigeria,Tunisia,Joseph Yobo,Ali Boumnijel,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,https://www.transfermarkt.com/spielbericht/index/spielbericht/1053033,https://www.youtube.com/watch?v=2Yb4uvmk4hg
